project,issue_key,category,resolved,type,url,week
Address-Tracking,ATP-2262,Partner Commitment (Pc),2025-01-21T11:25:40.338-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134025,4
Rating,RATE-1511,Carrier Compliance (Cc),2025-01-13T16:42:27.087-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136530,3
Core Enablement,CET-509,Team Management (TM),2025-01-23T16:48:41.128-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136497,4
Address-Tracking,ATP-2406,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:26:52.314-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137577,4
Address-Tracking,ATP-2351,"Unplanned (Bug, Incident, Inquiry)",2025-01-08T14:35:36.294-0800,Unplanned,https://shippo.atlassian.net/rest/api/2/issue/135960,2
Rating,RATE-1499,Carrier Compliance (Cc),2025-01-16T20:52:49.847-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136393,3
Address-Tracking,ATP-2339,Team Management (TM),2025-01-10T09:13:23.501-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/135711,2
Carrier Configurations,CFG-1005,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T04:48:49.745-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137196,3
Rating,RATE-1539,Carrier Compliance (Cc),2025-01-13T17:01:16.696-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136782,3
Carrier Configurations,CFG-1007,"Unplanned (Bug, Incident, Inquiry)",2025-01-18T17:11:31.137-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137236,3
Rating,RATE-1548,Technical Investment (Tech Inv),2025-01-14T06:07:44.155-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136990,3
Reconciliation,RECON-959,Feature - Product Enhancement,2025-01-07T12:15:41.119-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133204,2
Reconciliation,RECON-962,Feature - Product Enhancement,2025-01-06T09:05:48.901-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133208,2
Rating,RATE-1464,"Unplanned (Bug, Incident, Inquiry)",2025-01-05T21:42:46.538-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136075,2
Address-Tracking,ATP-2333,"Unplanned (Bug, Incident, Inquiry)",2025-01-02T07:29:51.307-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135588,1
Rating,RATE-1584,Carrier Compliance (Cc),2025-01-17T16:41:44.537-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137388,3
Reconciliation,RECON-963,Feature - Product Enhancement,2025-01-03T09:04:25.059-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133209,1
Carrier Configurations,CFG-970,Technical Investment (Tech Inv),2025-01-02T06:22:26.359-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135516,1
Reconciliation,RECON-1081,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T14:40:28.421-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137173,3
Rating,RATE-1457,Carrier Compliance (Cc),2025-01-03T16:33:01.166-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136010,1
Reconciliation,RECON-1031,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T10:43:35.069-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/135716,2
Address-Tracking,ATP-2336,Carrier Compliance (Cc),2025-01-13T10:07:07.840-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135674,3
Address-Tracking,ATP-2396,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:26:15.541-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137274,4
Rating,RATE-1491,Carrier Compliance (Cc),2025-01-16T16:41:58.751-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136326,3
Rating,RATE-1472,"Unplanned (Bug, Incident, Inquiry)",2025-01-22T09:58:48.859-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136151,4
Rating,RATE-1535,Technical Investment (Tech Inv),2025-01-23T07:57:29.467-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136759,4
Label Refund Manifest,LABEL-1499,"Unplanned (Bug, Incident, Inquiry)",2025-01-06T13:46:20.604-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/130368,2
Reconciliation,RECON-954,Feature - Product Enhancement,2025-01-02T09:05:59.703-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/133190,1
Rating,RATE-1564,Carrier Compliance (Cc),2025-01-17T09:35:33.020-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137175,3
Carrier Configurations,CFG-930,Carrier Compliance (Cc),2025-01-16T06:17:56.718-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134892,3
Rating,RATE-1326,"Unplanned (Bug, Incident, Inquiry)",2025-01-17T10:47:03.224-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/134350,3
Label Refund Manifest,LABEL-2283,"Unplanned (Bug, Incident, Inquiry)",2025-01-17T12:46:03.453-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/137278,3
Address-Tracking,ATP-1708,"Unplanned (Bug, Incident, Inquiry)",2025-01-17T11:14:48.053-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/124209,3
Address-Tracking,ATP-2363,"Unplanned (Bug, Incident, Inquiry)",2025-01-13T10:16:20.449-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136776,3
Address-Tracking,ATP-2352,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T13:43:54.019-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136372,4
Rating,RATE-1514,"Unplanned (Bug, Incident, Inquiry)",2025-01-09T05:34:37.832-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136565,2
Core Enablement,CET-515,Technical Investment (Tech Inv),2025-01-13T14:48:30.415-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136743,3
Address-Tracking,ATP-1977,"Unplanned (Bug, Incident, Inquiry)",2025-01-13T10:20:29.401-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/129225,3
Rating,RATE-1566,Carrier Compliance (Cc),2025-01-17T09:39:38.929-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137185,3
Rating,RATE-1609,Carrier Compliance (Cc),2025-01-24T11:10:15.676-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137840,4
Carrier Configurations,CFG-984,"Unplanned (Bug, Incident, Inquiry)",2025-01-15T13:00:06.549-0800,Bug,https://shippo.atlassian.net/rest/api/2/issue/136136,3
Rating,RATE-1494,Carrier Compliance (Cc),2025-01-17T13:52:14.838-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136331,3
Rating,RATE-1552,Carrier Compliance (Cc),2025-01-14T17:42:03.799-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/137029,3
Rating,RATE-1515,"Unplanned (Bug, Incident, Inquiry)",2025-01-13T10:02:55.390-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136566,3
Address-Tracking,ATP-1586,Carrier Compliance (Cc),2025-01-09T08:13:13.107-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/121565,2
Rating,RATE-1513,Carrier Compliance (Cc),2025-01-13T13:02:49.100-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136536,3
Rating,RATE-1415,Carrier Compliance (Cc),2025-01-02T10:21:09.393-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135437,1
Label Refund Manifest,LABEL-2199,Technical Investment (Tech Inv),2025-01-16T10:45:38.201-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136519,3
Label Refund Manifest,LABEL-2077,Carrier Compliance (Cc),2025-01-07T05:32:56.309-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/135549,2
Rating,RATE-1495,Carrier Compliance (Cc),2025-01-16T17:13:06.085-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136332,3
Address-Tracking,ATP-2341,Team Management (TM),2025-01-10T09:13:43.663-0800,Story,https://shippo.atlassian.net/rest/api/2/issue/135713,2
Rating,RATE-650,Carrier Compliance (Cc),2025-01-23T10:53:16.802-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/119945,4
Carrier Configurations,CFG-762,Technical Investment (Tech Inv),2025-01-08T20:34:11.257-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/131474,2
Label Refund Manifest,LABEL-2003,Technical Investment (Tech Inv),2025-01-22T09:12:55.269-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/134775,4
Core Enablement,CET-483,Technical Investment (Tech Inv),2025-01-10T05:36:32.206-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136033,2
Address-Tracking,ATP-2048,Carrier Compliance (Cc),2025-01-09T09:38:49.025-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/130543,2
Rating,RATE-1476,Carrier Compliance (Cc),2025-01-17T11:44:27.415-0800,Task,https://shippo.atlassian.net/rest/api/2/issue/136218,3
